#{"t_start": 1778020685.626938, "env_id": "letter-env"}
r,l,t
-50.0,7,1814.757739
-50.0,13,1815.651398
-50.0,8,1816.238235
-50.0,11,1817.097216
-50.0,5,1817.41232
-50.0,22,1819.160102
-50.0,67,1823.956053
-50.0,7,1824.530768
-50.0,55,1828.527496
-50.0,3,1828.84005
-50.0,5,1829.125886
-50.0,3,1829.428223
-50.0,53,1833.179735
-50.0,35,1836.013257
-50.0,13,1836.869779
-40.0,37,1839.598266
-50.0,5,1839.917604
-50.0,9,1840.862699
-50.0,3,1840.882077
-50.0,37,1843.66335
-50.0,5,1843.933884
-50.0,13,1844.779953
-20.0,34,1847.635152
-50.0,44,1850.746622
-50.0,18,1851.889377
-50.0,25,1853.626468
-50.0,36,1856.320934
-40.0,73,1861.711812
-50.0,28,1863.665041
-50.0,36,1866.229519
-50.0,8,1866.854595
-50.0,5,1867.15495
-50.0,41,1870.114419
-40.0,59,1874.319816
-50.0,38,1877.019606
-50.0,3,1877.362468
-20.0,89,1884.011437
-20.0,37,1886.997046
-50.0,7,1887.304505
-40.0,33,1889.919164
-50.0,11,1890.484433
-50.0,9,1891.429949
-50.0,9,1892.039665
-50.0,5,1892.309262
-50.0,31,1894.602168
-40.0,54,1898.565226
-50.0,31,1900.808259
-50.0,16,1901.969678
-50.0,13,1902.95515
-50.0,24,1904.772295
-20.0,41,1907.964896
-50.0,24,1909.850913
-50.0,31,1911.90812
-50.0,15,1913.013618
-20.0,47,1916.699521
-40.0,38,1919.284745
-40.0,72,1924.644395
-50.0,19,1926.208018
-20.0,71,1931.498586
-50.0,7,1932.090643
-50.0,8,1932.673329
-50.0,12,1933.57966
-50.0,37,1936.435427
-50.0,31,1938.686537
-50.0,23,1940.243108
-50.0,17,1941.748432
-20.0,51,1945.398656
-50.0,23,1947.206659
-50.0,27,1949.269591
-50.0,22,1950.669089
-50.0,69,1955.944661
-40.0,30,1957.975609
-50.0,38,1960.954347
-50.0,41,1963.759672
-50.0,42,1966.536597
-20.0,56,1970.887368
-50.0,25,1972.894897
-40.0,95,1979.643034
-50.0,10,1980.508919
-50.0,22,1982.174435
-50.0,15,1983.340935
-50.0,5,1983.655684
-50.0,36,1986.259198
-50.0,3,1986.551235
-50.0,7,1987.132359
-50.0,25,1989.038329
-50.0,21,1990.493162
-50.0,8,1991.094898
-50.0,9,1991.909413
